symbol,fold,param_adx_rising_bars,param_adx_min,param_z_entry_min,param_z_entry_max,param_sl_mult,param_max_hold_bars,oos_n,oos_sharpe,oos_total_pnl,oos_mdd
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,1.0,4,13,-32.826,-3.5709,0.67
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,1.0,6,13,-76.2,-6.6665,1.11
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,1.0,8,11,-73.832,-6.0988,1.02
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,1.5,4,13,6.519,1.1352,0.4
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,1.5,6,13,-3.529,-0.7537,0.77
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,1.5,8,11,-0.285,-0.0569,0.65
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,2.0,4,12,-1.637,-0.3011,0.48
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,2.0,6,12,-2.757,-0.5828,0.63
AAVE/USDC:USDC,0,2,28.0,1.0,2.0,2.0,8,10,-4.477,-0.9144,0.65
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,1.0,4,16,-10.88,-1.6466,0.66
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,1.0,6,15,-13.789,-2.2491,0.84
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,1.0,8,14,-37.91,-5.7809,1.46
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,1.5,4,16,26.294,4.4845,0.4
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,1.5,6,15,14.449,3.4783,0.65
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,1.5,8,13,7.107,1.6597,0.76
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,2.0,4,16,23.25,4.6095,0.47
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,2.0,6,15,15.863,3.9211,0.45
AAVE/USDC:USDC,0,2,28.0,1.0,2.5,2.0,8,12,3.287,0.787,0.8
AAVE/USDC:USDC,0,2,28.0,1.0,3.0,1.0,4,20,-25.496,-4.5109,0.85
